DRAGSTART on menu-button (draggable=true)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DROP on timeline-cell drag-over id=
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGSTART on menu-button (draggable=true)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGSTART on menu-button (draggable=true)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGSTART on menu-button (draggable=true)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DROP on timeline-cell overlap-highlight drag-over id=
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGSTART on menu-button (draggable=true)
DRAGOVER on reservation-block (pointer-events: auto)
DRAGOVER on reservation-block (pointer-events: auto)
